,activity,event,dataset_id,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
0,outdoor_walk,HS,Sub12_LF_HS,144,0,15,1.0,0.9056603773584906,0.9504950495049505,1.2222222222222223
1,outdoor_walk,HS,Sub12_RF_HS,53,4,23,0.9298245614035088,0.6973684210526315,0.7969924812030075,1.0
2,outdoor_walk,HS,Sub13_LF_HS,530,13,1,0.9760589318600368,0.9981167608286252,0.9869646182495344,1.5018867924528303
3,outdoor_walk,HS,Sub13_RF_HS,258,0,61,1.0,0.8087774294670846,0.8942807625649913,1.6085271317829457
4,outdoor_walk,HS,Sub14_LF_HS,352,12,0,0.967032967032967,1.0,0.9832402234636871,1.8494318181818181
5,outdoor_walk,HS,Sub14_RF_HS,186,94,0,0.6642857142857143,1.0,0.7982832618025751,1.0268817204301075
6,outdoor_walk,HS,Sub15_LF_HS,159,65,0,0.7098214285714286,1.0,0.8302872062663186,1.3081761006289307
7,outdoor_walk,HS,Sub15_RF_HS,129,10,0,0.9280575539568345,1.0,0.9626865671641791,0.6976744186046512
8,outdoor_walk,HS,Sub16_LF_HS,215,0,0,1.0,1.0,1.0,1.069767441860465
9,outdoor_walk,HS,Sub16_RF_HS,129,7,0,0.9485294117647058,1.0,0.9735849056603774,0.8914728682170543
10,outdoor_walk,HS,Sub17_LF_HS,198,0,0,1.0,1.0,1.0,1.378787878787879
11,outdoor_walk,HS,Sub17_RF_HS,167,4,0,0.9766081871345029,1.0,0.9881656804733728,1.1497005988023952
12,outdoor_walk,HS,Sub18_LF_HS,180,15,1,0.9230769230769231,0.994475138121547,0.9574468085106383,1.2722222222222221
13,outdoor_walk,HS,Sub18_RF_HS,0,0,56,0.0,0.0,0.0,1000.0
14,outdoor_walk,HS,Sub19_LF_HS,94,20,0,0.8245614035087719,1.0,0.9038461538461539,0.7291666666666666
15,outdoor_walk,HS,Sub19_RF_HS,167,7,0,0.9597701149425287,1.0,0.9794721407624634,1.7425149700598803
16,outdoor_walk,HS,Sub20_LF_HS,196,4,2,0.98,0.98989898989899,0.9849246231155778,2.438775510204082
17,outdoor_walk,HS,Sub20_RF_HS,188,0,0,1.0,1.0,1.0,1.2234042553191489
18,outdoor_walk,TO,Sub12_LF_TO,123,16,1,0.8848920863309353,0.9919354838709677,0.935361216730038,0.7073170731707317
19,outdoor_walk,TO,Sub12_RF_TO,110,4,14,0.9649122807017544,0.8870967741935484,0.9243697478991597,1.6818181818181819
20,outdoor_walk,TO,Sub13_LF_TO,16,0,98,1.0,0.14035087719298245,0.24615384615384614,3.6875
21,outdoor_walk,TO,Sub13_RF_TO,438,1,0,0.9977220956719818,1.0,0.9988597491448118,1.2397260273972603
22,outdoor_walk,TO,Sub14_LF_TO,68,0,18,1.0,0.7906976744186046,0.8831168831168831,0.7941176470588235
23,outdoor_walk,TO,Sub14_RF_TO,216,15,1,0.935064935064935,0.9953917050691244,0.9642857142857143,1.1898148148148149
24,outdoor_walk,TO,Sub15_LF_TO,74,0,16,1.0,0.8222222222222222,0.9024390243902439,1.0675675675675675
25,outdoor_walk,TO,Sub15_RF_TO,22,3,36,0.88,0.3793103448275862,0.5301204819277108,0.8636363636363636
26,outdoor_walk,TO,Sub16_LF_TO,104,23,1,0.8188976377952756,0.9904761904761905,0.8965517241379312,1.5769230769230769
27,outdoor_walk,TO,Sub16_RF_TO,74,109,25,0.40437158469945356,0.7474747474747475,0.5248226950354611,2.027027027027027
28,outdoor_walk,TO,Sub17_LF_TO,146,16,0,0.9012345679012346,1.0,0.948051948051948,0.773972602739726
29,outdoor_walk,TO,Sub17_RF_TO,144,2,0,0.9863013698630136,1.0,0.993103448275862,1.2361111111111112
30,outdoor_walk,TO,Sub18_LF_TO,99,12,10,0.8918918918918919,0.908256880733945,0.9,0.9494949494949495
31,outdoor_walk,TO,Sub18_RF_TO,310,138,1,0.6919642857142857,0.9967845659163987,0.8168642951251647,2.124203821656051
32,outdoor_walk,TO,Sub19_LF_TO,197,128,0,0.6061538461538462,1.0,0.7547892720306514,1.6294416243654823
33,outdoor_walk,TO,Sub19_RF_TO,90,0,6,1.0,0.9375,0.967741935483871,0.6333333333333333
34,outdoor_walk,TO,Sub20_LF_TO,185,34,0,0.8447488584474886,1.0,0.9158415841584158,1.0
35,outdoor_walk,TO,Sub20_RF_TO,13,0,46,1.0,0.22033898305084745,0.3611111111111111,0.38461538461538464
36,outdoor_run,HS,Sub12_LF_HS,283,0,0,1.0,1.0,1.0,1.3604240282685511
37,outdoor_run,HS,Sub12_RF_HS,142,71,26,0.6666666666666666,0.8452380952380952,0.7454068241469817,1.4647887323943662
38,outdoor_run,HS,Sub13_LF_HS,383,5,1,0.9871134020618557,0.9973958333333334,0.9922279792746115,1.793733681462141
39,outdoor_run,HS,Sub13_RF_HS,255,0,1,1.0,0.99609375,0.9980430528375733,1.1686274509803922
40,outdoor_run,HS,Sub14_LF_HS,118,23,10,0.8368794326241135,0.921875,0.8773234200743494,2.5084745762711864
41,outdoor_run,HS,Sub14_RF_HS,179,6,1,0.9675675675675676,0.9944444444444445,0.9808219178082193,1.452513966480447
42,outdoor_run,HS,Sub15_LF_HS,6,2,27,0.75,0.18181818181818182,0.2926829268292683,2.0
43,outdoor_run,HS,Sub15_RF_HS,32,12,11,0.7272727272727273,0.7441860465116279,0.735632183908046,2.375
44,outdoor_run,HS,Sub16_LF_HS,186,0,17,1.0,0.916256157635468,0.9562982005141388,1.053763440860215
