,activity,event,dataset_id,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
0,treadmill_walk,HS,Sub1_LF_HS,729,28,0,0.9630118890356671,1.0,0.9811574697173621,1.4074074074074074
1,treadmill_walk,HS,Sub1_RF_HS,554,2,0,0.9964028776978417,1.0,0.9981981981981982,1.3537906137184115
2,treadmill_walk,HS,Sub2_LF_HS,31,0,81,1.0,0.2767857142857143,0.43356643356643354,0.8709677419354839
3,treadmill_walk,HS,Sub2_RF_HS,4,0,95,1.0,0.04040404040404041,0.07766990291262137,2.5
4,treadmill_walk,HS,Sub3_LF_HS,315,204,0,0.6069364161849711,1.0,0.7553956834532374,2.3174603174603177
5,treadmill_walk,HS,Sub3_RF_HS,528,94,0,0.8488745980707395,1.0,0.9182608695652174,1.1761363636363635
6,treadmill_walk,HS,Sub4_LF_HS,213,31,0,0.8729508196721312,1.0,0.9321663019693655,0.48826291079812206
7,treadmill_walk,HS,Sub4_RF_HS,418,0,0,1.0,1.0,1.0,1.1650717703349283
8,treadmill_walk,HS,Sub5_LF_HS,966,90,0,0.9147727272727273,1.0,0.9554896142433235,1.849896480331263
9,treadmill_walk,HS,Sub5_RF_HS,425,50,0,0.8947368421052632,1.0,0.9444444444444444,1.1011764705882352
10,treadmill_walk,HS,Sub6_LF_HS,407,310,0,0.5676429567642957,1.0,0.7241992882562278,1.4742014742014742
11,treadmill_walk,HS,Sub6_RF_HS,537,261,1,0.6729323308270677,0.9981412639405205,0.8038922155688623,1.5121042830540037
12,treadmill_walk,HS,Sub7_LF_HS,356,153,0,0.6994106090373281,1.0,0.823121387283237,1.4915730337078652
13,treadmill_walk,HS,Sub7_RF_HS,279,177,3,0.6118421052631579,0.9893617021276596,0.7560975609756097,3.247311827956989
14,treadmill_walk,HS,Sub8_LF_HS,730,31,3,0.9592641261498029,0.9959072305593452,0.9772423025435074,1.7986301369863014
15,treadmill_walk,HS,Sub8_RF_HS,482,5,0,0.9897330595482546,1.0,0.9948400412796699,1.3941908713692945
16,treadmill_walk,HS,Sub9_LF_HS,596,336,0,0.6394849785407726,1.0,0.7801047120418848,1.4328859060402686
17,treadmill_walk,HS,Sub9_RF_HS,588,227,0,0.7214723926380369,1.0,0.8382038488952246,1.0085034013605443
18,treadmill_walk,HS,Sub10_LF_HS,396,40,2,0.908256880733945,0.9949748743718593,0.9496402877697842,1.351010101010101
19,treadmill_walk,HS,Sub10_RF_HS,644,152,0,0.8090452261306532,1.0,0.8944444444444445,1.4891304347826086
20,treadmill_walk,HS,Sub11_LF_HS,998,0,0,1.0,1.0,1.0,1.2705410821643286
21,treadmill_walk,HS,Sub11_RF_HS,945,13,0,0.9864300626304802,1.0,0.9931686810299527,1.2613756613756615
22,treadmill_walk,TO,Sub1_LF_TO,858,46,1,0.9491150442477876,0.9988358556461001,0.9733408961996597,2.124708624708625
23,treadmill_walk,TO,Sub1_RF_TO,662,58,1,0.9194444444444444,0.9984917043740573,0.9573391178597253,2.3293051359516617
24,treadmill_walk,TO,Sub2_LF_TO,307,2,0,0.9935275080906149,1.0,0.9967532467532468,0.8306188925081434
25,treadmill_walk,TO,Sub2_RF_TO,55,546,70,0.09151414309484193,0.44,0.15151515151515152,1.509090909090909
26,treadmill_walk,TO,Sub3_LF_TO,550,17,4,0.9700176366843033,0.9927797833935018,0.9812667261373774,1.1763636363636363
27,treadmill_walk,TO,Sub3_RF_TO,534,412,0,0.5644820295983086,1.0,0.7216216216216216,3.147940074906367
28,treadmill_walk,TO,Sub4_LF_TO,766,32,0,0.9598997493734336,1.0,0.979539641943734,2.7859007832898173
29,treadmill_walk,TO,Sub4_RF_TO,296,257,0,0.5352622061482821,1.0,0.6972909305064783,0.7837837837837838
30,treadmill_walk,TO,Sub5_LF_TO,506,2,10,0.9960629921259843,0.9806201550387597,0.98828125,1.8102766798418972
31,treadmill_walk,TO,Sub5_RF_TO,1155,230,0,0.8339350180505415,1.0,0.9094488188976378,1.9281385281385282
32,treadmill_walk,TO,Sub6_LF_TO,0,0,164,0.0,0.0,0.0,1000.0
33,treadmill_walk,TO,Sub6_RF_TO,145,345,94,0.29591836734693877,0.606694560669456,0.39780521262002744,2.5586206896551724
34,treadmill_walk,TO,Sub7_LF_TO,467,213,0,0.6867647058823529,1.0,0.8142981691368788,2.0278372591006426
35,treadmill_walk,TO,Sub7_RF_TO,115,133,56,0.4637096774193548,0.672514619883041,0.548926014319809,1.2956521739130435
36,treadmill_walk,TO,Sub8_LF_TO,1160,264,0,0.8146067415730337,1.0,0.8978328173374613,2.3482758620689657
37,treadmill_walk,TO,Sub8_RF_TO,916,578,0,0.6131191432396251,1.0,0.7601659751037344,2.1331877729257642
38,treadmill_walk,TO,Sub9_LF_TO,480,39,1,0.9248554913294798,0.997920997920998,0.96,1.0333333333333334
39,treadmill_walk,TO,Sub9_RF_TO,882,439,0,0.6676760030280091,1.0,0.8007262823422606,1.5192743764172336
40,treadmill_walk,TO,Sub10_LF_TO,47,86,133,0.3533834586466165,0.2611111111111111,0.3003194888178914,2.6382978723404253
41,treadmill_walk,TO,Sub10_RF_TO,533,24,13,0.9569120287253142,0.9761904761904762,0.9664551223934724,1.7673545966228894
42,treadmill_walk,TO,Sub11_LF_TO,786,486,1,0.6179245283018868,0.9987293519695044,0.7634774162214667,3.2480916030534353
43,treadmill_walk,TO,Sub11_RF_TO,2246,1431,0,0.6108240413380474,1.0,0.7583994597332434,2.719946571682992
