,activity,event,dataset_id,cross_val_id ,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
0,treadmill_walk,HS,Sub1_LF_HS,1,951,93,0,0.9109195402298851,1.0,0.9533834586466166,1.7234490010515247
1,treadmill_walk,HS,Sub1_LF_HS,2,1139,114,0,0.9090183559457302,1.0,0.9523411371237458,2.2265144863915713
2,treadmill_walk,HS,Sub1_LF_HS,3,432,2,20,0.9953917050691244,0.9557522123893806,0.9751693002257337,1.4675925925925926
3,treadmill_walk,HS,Sub1_RF_HS,1,1065,5,0,0.9953271028037384,1.0,0.9976580796252927,1.8816901408450704
4,treadmill_walk,HS,Sub1_RF_HS,2,980,14,0,0.9859154929577465,1.0,0.9929078014184397,1.9357142857142857
5,treadmill_walk,HS,Sub1_RF_HS,3,796,41,4,0.951015531660693,0.995,0.9725106902871106,2.0603015075376883
6,treadmill_walk,HS,Sub2_LF_HS,1,582,246,0,0.7028985507246377,1.0,0.825531914893617,1.5824742268041236
7,treadmill_walk,HS,Sub2_LF_HS,2,752,29,0,0.9628681177976952,1.0,0.9810828440965427,2.1422872340425534
8,treadmill_walk,HS,Sub2_LF_HS,3,511,11,0,0.9789272030651341,1.0,0.9893514036786061,1.7906066536203522
9,treadmill_walk,HS,Sub2_RF_HS,1,380,47,6,0.8899297423887588,0.9844559585492227,0.9348093480934808,1.5973684210526315
10,treadmill_walk,HS,Sub2_RF_HS,2,381,40,6,0.9049881235154394,0.9844961240310077,0.943069306930693,1.9658792650918635
11,treadmill_walk,HS,Sub2_RF_HS,3,582,253,10,0.6970059880239521,0.9831081081081081,0.815697266993693,2.3058419243986252
12,treadmill_walk,HS,Sub3_LF_HS,1,1306,387,0,0.7714116952155936,1.0,0.8709569856618873,2.2580398162327717
13,treadmill_walk,HS,Sub3_LF_HS,2,978,35,0,0.9654491609081934,1.0,0.982420894023104,2.1462167689161555
14,treadmill_walk,HS,Sub3_LF_HS,3,988,133,0,0.8813559322033898,1.0,0.936936936936937,2.2682186234817814
15,treadmill_walk,HS,Sub3_RF_HS,1,598,21,0,0.9660743134087237,1.0,0.9827444535743631,1.605351170568562
16,treadmill_walk,HS,Sub3_RF_HS,2,927,14,0,0.9851222104144527,1.0,0.9925053533190579,1.7562028047464942
17,treadmill_walk,HS,Sub3_RF_HS,3,535,0,2,1.0,0.9962756052141527,0.9981343283582089,1.502803738317757
18,treadmill_walk,HS,Sub4_LF_HS,1,544,2,0,0.9963369963369964,1.0,0.998165137614679,1.3198529411764706
19,treadmill_walk,HS,Sub4_LF_HS,2,422,6,0,0.985981308411215,1.0,0.9929411764705882,1.028436018957346
20,treadmill_walk,HS,Sub4_LF_HS,3,385,0,1,1.0,0.9974093264248705,0.9987029831387808,1.07012987012987
21,treadmill_walk,HS,Sub4_RF_HS,1,909,45,0,0.9528301886792453,1.0,0.9758454106280194,2.2343234323432344
22,treadmill_walk,HS,Sub4_RF_HS,2,762,4,0,0.9947780678851175,1.0,0.9973821989528796,2.0013123359580054
23,treadmill_walk,HS,Sub4_RF_HS,3,154,0,43,1.0,0.7817258883248731,0.8774928774928775,0.922077922077922
24,treadmill_walk,HS,Sub5_LF_HS,1,1164,212,0,0.8459302325581395,1.0,0.9165354330708662,2.0945017182130585
25,treadmill_walk,HS,Sub5_LF_HS,2,957,37,0,0.9627766599597586,1.0,0.9810353664787288,1.6802507836990597
26,treadmill_walk,HS,Sub5_LF_HS,3,784,2,0,0.9974554707379135,1.0,0.9987261146496815,1.5829081632653061
27,treadmill_walk,HS,Sub5_RF_HS,1,1196,36,0,0.9707792207792207,1.0,0.985172981878089,2.0660535117056855
28,treadmill_walk,HS,Sub5_RF_HS,2,836,8,0,0.990521327014218,1.0,0.9952380952380951,1.5909090909090908
29,treadmill_walk,HS,Sub5_RF_HS,3,645,12,1,0.9817351598173516,0.9984520123839009,0.990023023791251,1.4338461538461538
30,treadmill_walk,HS,Sub6_LF_HS,1,702,3,0,0.9957446808510638,1.0,0.9978678038379531,1.7535612535612535
31,treadmill_walk,HS,Sub6_LF_HS,2,1000,7,0,0.9930486593843099,1.0,0.9965122072745392,1.859
32,treadmill_walk,HS,Sub6_LF_HS,3,429,0,1,1.0,0.9976744186046511,0.9988358556461001,1.4685314685314685
33,treadmill_walk,HS,Sub6_RF_HS,1,872,115,3,0.8834853090172239,0.9965714285714286,0.936627282491944,2.0172018348623855
