,Column Labels,,,,,,,,
,HS,,,TO,,,Total Average of precision,Total Average of recall,Total Average of F1
Row Labels,Average of precision,Average of recall,Average of F1,Average of precision,Average of recall,Average of F1,,,
outdoor_walk,0.90,0.98,0.94,0.81,0.97,0.87,0.86,0.97,0.90
outdoor_run,0.89,0.99,0.93,0.84,0.95,0.87,0.87,0.97,0.90
outdoor_walknrun,0.78,0.96,0.85,0.49,0.76,0.56,0.64,0.86,0.71
Grand Total,0.86,0.98,0.91,0.71,0.89,0.77,0.79,0.94,0.84
